confidence,book,chapter,verse,strongs,lemma,gloss_meaning,db_count,source_count,db_ancient_texts,db_english_glosses,source_words,db_token_ids
HIGH,1Ch,2,55,H3427,יָשַׁב,sit,2,1,ישב | ישב,which dwelt | which dwelt,יֹשְׁבֵ֣י,110740 | 110741
HIGH,1Ch,5,7,H3187,יָחַשׂ,enroll oneself,2,1,יחש | יחש,when the genealogy | was reckoned,בְּ/הִתְיַחֵ֖שׂ,111377 | 111379
HIGH,1Ch,11,6,H5927,עָלָה,go up,2,1,עלה | עלה,went | up,וַ/יַּ֧עַל,113470 | 113472
HIGH,1Ch,13,5,H6950,קָהַל,assemble as an assembly,2,1,קהל | קהל,gathered | together,וַ/יַּקְהֵ֤ל,114257 | 114259
HIGH,1Ch,15,2,H0430,אֱלֹהִים,gods,2,1,אלהים | אלהים,of God | of God,הָֽ/אֱלֹהִ֔ים,114527 | 114533
HIGH,1Ch,15,3,H6950,קָהַל,assemble as an assembly,2,1,קהל | קהל,gathered | together,וַ/יַּקְהֵ֥ל,114538 | 114540
HIGH,1Ch,15,24,H2690,חָצַר,sound a clarion,2,1,חצר | חצר,did blow | did blow,מַחְצְרִים֙,114735 | 114736
HIGH,1Ch,17,13,H5493,סוּר,turn aside,3,2,סור | סור | סור,"and I will not take | away | from him, as I took",אָסִ֣יר | הֲסִיר֔וֹתִי,115277 | 115279 | 115280
HIGH,1Ch,17,18,H3254,יָסַף,add,2,1,יסף | יסף,What can | more,יּוֹסִ֨יף,115320 | 115322
HIGH,1Ch,20,6,H0676,אֶצְבַּע,finger,2,1,אצבע | אצבע,whose fingers | and toes,וְ/אֶצְבְּעֹתָ֤י/ו,115949 | 115950
HIGH,1Ch,21,27,H7725,שׁוּב,turn back,2,1,שוב | שוב,and he put up | again,וַ/יָּ֥שֶׁב,116319 | 116321
HIGH,1Ch,28,1,H4256,מַחֲלֹקֶת,division,2,1,מחלקת | מחלקת,of the companies | by course,הַ/מַּחְלְק֣וֹת,118078 | 118081
HIGH,1Co,1,2,G1473,ἐγώ,I,2,0,ημων | ημων,our | ours,,323924 | 323930
HIGH,1Co,1,4,G4012,περί,about,2,1,περι | περι,on | behalf,περὶ,323948 | 323950
HIGH,1Co,1,10,G3004,λέγω,to say,2,1,λεγητε | λεγητε,ye | speak,λέγητε,324044 | 324046
HIGH,1Co,1,13,G3307,μερίζω,to divide; to deal out,2,1,μεμερισται | μεμερισται,Is | divided,μεμέρισται,324099 | 324102
HIGH,1Co,1,13,G4717,σταυρόω,to crucify,2,1,εσταυρωθη | εσταυρωθη,was | crucified,ἐσταυρώθη,324103 | 324106
HIGH,1Co,1,27,G2617,καταισχύνω,to put to shame,2,1,καταισχυνη | καταισχυνη,confound | confound,καταισχύνῃ,324326 | 324336
HIGH,1Co,1,28,G1586,ἐκλέγομαι,to choose,2,1,εξελεξατο | εξελεξατο,hath | chosen,ἐξελέξατο,324347 | 324350
HIGH,1Co,1,29,G1799,ἐνώπιον,before,2,1,ενωπιον | ενωπιον,in | presence,ἐνώπιον,324364 | 324366
HIGH,1Co,2,3,G2532,καί,and,3,2,και | και | και,And | and | and,καὶ | καὶ,324428 | 324435 | 324438
HIGH,1Co,2,4,G1473,ἐγώ,I,2,0,μου | μου,my | my,,324443 | 324447
HIGH,1Co,2,8,G4717,σταυρόω,to crucify,2,1,εσταυρωσαν | εσταυρωσαν,they would | have crucified,"ἐσταύρωσαν,",324524 | 324527
HIGH,1Co,2,9,G3708,ὁράω,to see,2,0,ειδεν | ειδεν,hath | seen,,324537 | 324539
HIGH,1Co,2,11,G1492,εἴδω,to see; to know,2,0,οιδεν | οιδεν,knoweth | knoweth,,324579 | 324597
HIGH,1Co,3,5,G5101,τίς,what,2,0,τις | τις,Who | who,,324755 | 324760
HIGH,1Co,3,10,G0991,βλέπω,to see,2,1,βλεπετω | βλεπετω,let | take heed,βλεπέτω,324839 | 324841
HIGH,1Co,3,17,G5351,φθείρω,to destroy,3,2,φθειρει | φθερει | φθερει,defile | shall | destroy,"φθείρει, | φθερεῖ",324935 | 324941 | 324944
HIGH,1Co,3,18,G1818,ἐξαπατάω,to deceive,2,1,εξαπατατω | εξαπατατω,Let | deceive,ἐξαπατάτω·,324954 | 324956
HIGH,1Co,3,21,G2744,καυχάομαι,to boast,2,1,καυχασθω | καυχασθω,let | glory,καυχάσθω,325007 | 325009
HIGH,1Co,4,1,G3049,λογίζομαι,to count,2,1,λογιζεσθω | λογιζεσθω,Let | account,λογιζέσθω,325041 | 325044
HIGH,1Co,4,4,G1344,δικαιόω,to justify,2,1,δεδικαιωμαι | δεδικαιωμαι,am I | justified,δεδικαίωμαι·,325086 | 325090
HIGH,1Co,4,5,G1096,γίνομαι,to be,2,1,γενησεται | γενησεται,shall | have,γενήσεται,325123 | 325125
HIGH,1Co,4,7,G1252,διακρίνω,to waver,2,1,διακρινει | διακρινει,maketh | to differ,διακρίνει;,325163 | 325165
HIGH,1Co,4,7,G2983,λαμβάνω,to take; to receive,5,3,ελαβες | ελαβες | ελαβες | λαβων | λαβων,thou didst | receive | thou didst receive | thou hadst | received,"ἔλαβες; | ἔλαβες, | λαβών;",325170 | 325172 | 325176 | 325180 | 325182
HIGH,1Co,4,10,G1473,ἐγώ,I,3,0,ημεις | ημεις | ημεις,We | we | we,,325221 | 325230 | 325238
HIGH,1Co,4,11,G3983,πεινάω,to hunger,2,1,πεινωμεν | πεινωμεν,we | hunger,πεινῶμεν,325244 | 325246
HIGH,1Co,4,17,G1473,ἐγώ,I,2,0,μου | μου,my | of my,,325321 | 325332
HIGH,1Co,4,17,G0363,ἀναμιμνήσκω,to be reminded,2,1,αναμνησει | αναμνησει,shall bring | remembrance,ἀναμνήσει,325329 | 325331
HIGH,1Co,4,18,G2064,ἔρχομαι,to come,2,1,ερχομενου | ερχομενου,would | come,ἐρχομένου,325349 | 325351
HIGH,1Co,5,2,G3996,πενθέω,to mourn,2,1,επενθησατε | επενθησατε,have | mourned,ἐπενθήσατε,325423 | 325426
HIGH,1Co,5,3,G2716,κατεργάζομαι,to do; to bring about,2,1,κατεργασαμενον | κατεργασαμενον,done | deed,κατεργασάμενον,325453 | 325455
HIGH,1Co,5,4,G1473,ἐγώ,I,2,1,ημων | ημων,of our | of our,ἐμοῦ,325460 | 325474
HIGH,1Co,5,4,G4863,συνάγω,to gather,2,1,συναχθεντων | συναχθεντων,when | are gathered together,συναχθέντων,325465 | 325467
HIGH,1Co,5,7,G1473,ἐγώ,I,2,0,ημων | ημων,our | us,,325528 | 325532
HIGH,1Co,5,10,G2228,ἤ,or,3,2,η | η | η,or | or | or,ἢ | ἢ,325567 | 325570 | 325572
HIGH,1Co,5,11,G2228,ἤ,or,6,5,η | η | η | η | η | η,be | or | or | or | or | or,ἢ | ἢ | ἢ | ἢ | ἢ,325591 | 325593 | 325595 | 325597 | 325599 | 325601
HIGH,1Co,5,12,G2919,κρίνω,to judge,3,2,κρινειν | κρινετε | κρινετε,to do to judge | do | judge,"κρίνειν; | κρίνετε,",325610 | 325615 | 325618
